Eden,https://www.eden.gov.uk/your-council/news/,rss
Gloucester,https://www.gloucestershire.gov.uk/gloucestershire-county-council-news/,rss
Greenwich,https://www.royalgreenwich.gov.uk/news,rss
Hounslow,https://www.hounslow.gov.uk/news,rss
Kingston upon Thames,https://www.kingston.gov.uk/news,rss
Merton,https://news.merton.gov.uk/,rss
Oldham,https://www.oldham.gov.uk/news,rss
Rochdale,http://www.rochdale.gov.uk/news/,rss
Salford,https://www.salford.gov.uk/your-council/news/,rss
Hampshire,https://www.hants.gov.uk/News,rss
Fareham,https://www.fareham.gov.uk/latest_news/intro.aspx,rss
Winchester,https://www.winchester.gov.uk/news,rss
"Herefordshire, County of",https://www.herefordshire.gov.uk/news,rss
Watford,https://www.watford.gov.uk/news,rss
Kent,https://kccmediahub.net/,rss
Sevenoaks,https://www.sevenoaks.gov.uk/news,rss
Tunbridge Wells,http://www.tunbridgewells.gov.uk/residents/news,rss
Lancashire,https://www.lancashire.gov.uk/news/,rss
Wyre,https://www.wyre.gov.uk/news/,rss
Blaby,https://www.blaby.gov.uk/your-council/news-and-awards/news/,rss
Harborough,https://www.harborough.gov.uk/news,rss
Hinckley and Bosworth,https://www.hinckley-bosworth.gov.uk/newsandpress,rss
Melton,http://www.melton.gov.uk/ournews,rss
Sefton,http://mysefton.co.uk/category/latest-news/,rss
Breckland,https://www.breckland.gov.uk/latestnews,rss
North Norfolk,https://www.north-norfolk.gov.uk/news/,rss
Norwich,https://www.norwich.gov.uk/news,rss
North Yorkshire,https://www.northyorks.gov.uk/news,rss
Hambleton,https://www.hambleton.gov.uk/news,rss
Harrogate,https://www.harrogate.gov.uk/news,rss
Stockton-on-Tees,https://www.stockton.gov.uk/news/,rss
Kettering,https://www.kettering.gov.uk/news,rss
South Northamptonshire,https://www.southnorthants.gov.uk/news,rss
Northern Ireland,https://www.northernireland.gov.uk/press-releases,rss
"Newry, Mourne and Down",https://www.newrymournedown.org/news,rss
Nottingham,http://www.mynottinghamnews.co.uk/main-news-page/,rss
Rushcliffe,https://www.rushcliffe.gov.uk/aboutus/newsandpublications/latestnews/,rss
Cherwell,https://www.cherwell.gov.uk/news,rss
Oxford,https://www.oxford.gov.uk/news,rss
Dundee City,https://www.dundeecity.gov.uk/news,rss
East Lothian,https://www.eastlothian.gov.uk/news,rss
Highland,https://www.highland.gov.uk/news/archive,rss
Inverclyde,https://www.inverclyde.gov.uk/news,rss
Scottish Borders,https://www.scotborders.gov.uk/news,rss
Sedgemoor,https://www.sedgemoor.gov.uk/article/717/Latest-News-Announcements,rss
Doncaster,https://www.doncaster.gov.uk/news,rss
Stafford,https://www.staffordbc.gov.uk/news-articles,rss
Stoke-on-Trent,https://www.stoke.gov.uk/news,rss
Tamworth,https://www.tamworth.gov.uk/news,rss
Babergh,https://www.babergh.gov.uk/news/,rss
Surrey,https://news.surreycc.gov.uk/,rss
Reigate and Banstead,http://www.reigate-banstead.gov.uk/news,rss
Spelthorne,https://www.spelthorne.gov.uk/article/16409/News,rss
Surrey Heath,https://www.surreyheath.gov.uk/council/news,rss
Tandridge,https://www.tandridge.gov.uk/Your-council/News-and-consultation/News,rss
Wales,https://gov.wales/announcements,rss
Warwickshire,https://news.warwickshire.gov.uk/,rss
Rugby,https://www.rugby.gov.uk/news,rss
Warwick,https://www.warwickdc.gov.uk/news,rss
Birmingham,https://www.birmingham.gov.uk/news,rss
Coventry,https://www.coventry.gov.uk/news/,rss
Sandwell,http://www.sandwell.gov.uk/news,rss
Adur,https://www.adur-worthing.gov.uk/news/,rss
Worthing,https://www.adur-worthing.gov.uk/news/,rss
Calderdale,https://news.calderdale.gov.uk/author/calderdale-council/,rss
Swindon,https://www.swindon.gov.uk/news,rss
Worcestershire,http://www.worcestershire.gov.uk/news_social_media,rss
Bracknell Forest,https://www.bracknell-forest.gov.uk/news,page
Chiltern,https://www.chiltern.gov.uk/article/8020/News,page
South Bucks,https://www.southbucks.gov.uk/news,page
Isles of Scilly,https://www.scilly.gov.uk/most-recent-news-items,page
Thurrock,https://www.thurrock.gov.uk/news,page
Uttlesford,https://www.uttlesford.gov.uk/news,page
Stroud,https://www.stroud.gov.uk/news-archive,page
